,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100
m1,,0.44258644480724274,0.4107655523091191,0.4040197580926119,0.36245661538392493,0.5791681553219863,0.47511406567780184,0.30337850068366934,0.18896631391811297,0.5121055338046807,0.5998429059013162,0.20111885857971645,0.42731186770576174,0.5271079241229455,0.2672731542879365,0.5772887485127487,0.6745560269572579,0.45862881140582523,0.24555211720569686,0.24256568257956784,0.5383706199801845,0.506168037173934,0.2306986955504201,0.3956004219468426,0.49115227710156595,0.5970361484834255,0.36281815924748295,0.6468998104809374,0.6688783138982832,0.3806280783949606,0.40387078800661375,0.6458193776853497,0.03519554185824042,0.6789107003891838,0.3212922315620883,0.6450004293432079,0.4874021781368661,0.26133232364771536,0.5771599137857236,0.5378543087127724,0.6016995324083029,0.3563284382322446,0.46566846241127435,0.32115324511632215,0.49578137655335863,0.3444223177672736,0.6546712477156418,0.3669241052548433,0.7562914668027919,0.6860893362445122,0,0.5552727121974236,1.0,0.24161068284342574,0.34878951278127546,0.11280047810889132,0.4878271135741296,0.6023990774453198,0.8209696218077212,0.4091529935224302,0.17324901930929082,0.5588912846435834,0.3357323638629034,0.18978182577057068,0.20092029640583448,0.17816923636773474,0.1736437110575621,0.5047218617966023,0.54326415735966,0.40839754274776585,0.23446286182133702,0.5553074671344005,0.48458050916445433,0.3583772936295665,0.4061820692269572,0.32911965311787106,0.646612376364896,0.3079771997396405,0.23902118604537664,0.5634860383858635,0.3704592686627116,0.6006179905677798,0.44312591391341705,0.5247739855351462,0.5079732409892542,0.42183269944532065,0.2320933576642179,0.31382833155207923,0.3044513187613474,,0,0.27445059717994924,0.1953039283782647,0.6027502517248648,0.3331423994066425,0.6373341140398097,0.6763668307820881,0.46906731091722026,0.5256345811311611,0.391999949863748
m2,0.44258644480724274,,0.5467429141761428,0.4604946759043386,0.6480018161786474,0.412014129443648,0.571488170387782,0.4886859581405573,0.6896189254158384,0.5415037012268146,0.556550726603889,0.6061679654588207,0.5822262083225762,0.43996394634701247,0.681533870245602,0.35613621669550155,0.4662215887675812,0.5370962414244348,0.586700597269876,0.6123091578228527,0.46888955801692095,0.5946757129786395,0.6227136943828591,0.6583960556395787,0.4484958645352148,0.4652870978471177,0.6330030023494222,0.3255247354564274,0.38246434709311417,0.582267752935504,0.5607433201599444,0.3867998125218415,,0.43471756594975486,0.5262384237848098,0.36829081882929926,,0.5473946843975468,0.47768809924752825,0.6521178956107377,0.33701291883657136,0.6918965302876641,0.39855446598320265,0.628232816838222,0.5495649734132374,0.6225926940564634,0.3989555899240751,0.5385043371470543,0.7209064324166338,0.316760735696792,0,0.38674114707958296,,0.7128667832423061,0.4352386105956728,0.7493008656481756,0.5070932995356643,0.39295581853615597,,0.6382679206109807,0.5660239166396148,0.5130956206508599,0.5614886319029817,0.46418718378508117,0.594432633233084,0.507507649296159,,0.8567495285565704,0.4175283606406812,0.6279679406387461,0.5445424428555588,0.23108972110367526,0.3602913702074236,0.6032567234020066,0.8764378776938033,0.5251670544801174,0.2547501645399569,0.6114534590925178,0.6578945891165401,0.46577460645473084,0.6589151058107345,0.5382902089506754,0.3308485127788815,,0.4884058644860908,0.5953441115024031,0.6227972246444999,0.5840360662307602,0.6729129703709799,,0,0.6901662155406747,0.6975977189536164,0.393906346536003,0.6407165749151684,0.07176877947410776,0.4565975075945043,0.6952944492205334,0.31318012295040387,0.6568212496589865
m3,0.4107655523091191,0.5467429141761428,,0.6407561587849403,0.6773827344742286,0.43745266321907406,0.5479597772523792,0.6694069965236741,0.5870297359781789,0.5688345173364173,0.4566181075571136,0.6380508713348605,0.5503886045071895,0.31996432900924976,0.6819485367485766,0.46844391291174114,0.35021189337071257,0.5975134565004632,0.5892181141344621,0.6207947339664108,0.3752048698813066,0.5671199986317594,0.6165136878032139,0.5588397258019089,0.4524398061286654,0.5505992416479859,0.3825525316599416,0.38041270976509206,0.26100413648855536,0.6396263578610943,0.637972184447789,0.4301582181409789,,0.43476572191300533,0.5599996828141288,0.3519227872186696,,0.6159303625686915,0.4211852158621576,0.2645014175916899,0.28653890312044517,0.6141750147025362,0.4498201627099,0.5634579932330542,0.5113328886280922,0.7415482172497808,0.38791147857830227,0.5169061577661307,0.36695517158080515,0.32480883232339197,0,0.37139193052572733,,0.6309383742647715,0.32690204331720274,,0.5533207917856303,0.27548993832951374,,0.4912714629235064,0.5827742895485543,0.5046745007753245,0.6423949016971213,0.7590180494039053,0.5676777070413686,0.6321973235384923,,0.774200365825582,0.4279049057637451,0.5183709966864483,0.6632485693462653,0.3048378258758314,0.4358560533290596,0.657703567188795,0.31367296602183825,0.49008941641769177,0.15474188520209636,0.43766206362257126,0.6778360423861542,0.5719951642188104,0.6088647710475164,0.3699101630530692,,0.638672642941991,0.5493426383151985,0.4730647664500299,0.5727932963664714,0.580366338194165,0.6725785864301908,,0,0.7158947233664285,0.7246525966739605,0.4027400002231926,0.6228378816864489,0.2648587959281221,0.2792122637714087,0.9999999999999999,0.5179336210467681,0.5711479854054711
m4,0.4040197580926119,0.4604946759043386,0.6407561587849403,,0.7101445454277856,0.3189433737395537,0.5130876413866264,0.6384137036051128,0.4940782178748585,0.3691460391916077,0.31022264194356974,0.7210533063919625,0.6759883184689817,0.5518175419968411,0.5836848939246733,0.4081716008153984,0.3849561641803322,0.5166720462528047,0.5654425038423094,0.6803431165802327,0.42403256692512137,0.4238925898158818,0.5635821606715841,0.6297030680874905,0.46877623429336557,0.5781468491961995,0.7277794031318976,0.34399182562861463,0.4014064838336513,0.4719984836864593,0.6207566086435886,0.35200734258567445,,0.38549097495958673,0.5669662825379717,0.3084151046695114,,0.43978521298552403,0.42756700488506205,0.022330732130131703,0.2616982798962273,0.8042139551743639,0.5546733948445073,0.5910036376479192,0.42608590939570046,0.739035097447621,0.256695562625466,0.6014945297922505,,0.2827763908550607,0,0.4679630275358844,,0.8588577152270462,0.5734861199153063,,0.5460078760302625,0.31613293001650616,,0.6596449215088057,0.5663813481537514,0.47370836265609473,0.4876858348450636,0.6967427283795905,0.751152032329004,0.7944106915546922,,0.44001950932852696,0.4616108001658093,0.4256011531890264,0.701656392633697,0.2373464784994403,0.37700958284243485,0.641318716153822,,0.5800567116514302,0.3228885466987894,0.4925062438433729,0.7505594544984486,0.3301070461981908,0.44363064562406906,0.44047695041665064,0.19467504041070133,0.6551298008214106,0.6307595259535382,0.7146444474061514,0.7307648498871168,0.4417252288479067,0.639347744350632,,0,0.7301122222819185,0.7716205365935356,0.2816662754522721,0.5141815831199492,,0.40179454036248546,,0.5623521615896111,0.45386682652227844
m5,0.36245661538392493,0.6480018161786474,0.6773827344742286,0.7101445454277856,,0.38894245443485553,0.5879430732763373,0.6086423320333599,0.7584384671291151,0.5035920213653053,0.4991299616401367,0.6308059468845553,0.7845391597719918,0.41119663066671297,0.6938087135144348,0.3649290514755529,0.41148733722798625,0.42918671298608724,0.6195767546833559,0.5908517620054174,0.38958925144495427,0.5713380379618399,0.7345225447253894,0.6477234362927986,0.45479742539539886,0.5781756006665104,0.7061465716787403,0.18236848965876107,0.45564097572409873,0.5195905333763858,0.6362651007632927,0.32763221741127024,,0.3888480983255814,0.7280795527549823,0.3991977889670511,,0.4754390037214516,0.4166389451370172,0.4538722682507939,0.14373341466662887,0.6546323192376817,0.6419016264724545,0.6614351080292153,0.48207521209655496,0.5867820424630545,0.3744790169689266,0.6447860796688789,0.25917811390497403,0.2784026218931867,0,0.3488083672661829,,0.673573039113953,0.496931366785434,,0.5334481352390165,0.25002732478213363,,0.6915039166836165,0.6348062224447747,0.5400406394758686,0.5563737082830349,0.7060597262869396,0.6489177600652095,0.7433075961806619,,0.3081846094912807,0.33561599307829115,0.5072693324333089,0.7000401973373594,0.34642387460658586,0.4047327946066134,0.7491152517992955,0.5525761964151094,0.6909594492529798,0.21255569399653573,0.44944176532766633,0.6854705388614135,0.7750538488406639,0.6305720659560817,0.5516963187317682,0.2390992699114478,0.9894160157143466,0.5184716978797483,0.5135176596627343,0.7107199857757651,0.5283247744961007,0.7117782904054237,,0,0.6996370578702119,0.7113175351976637,0.34260457067350647,0.5882647206594558,,0.20096168143244536,,0.21762057130510043,0.7407435880034228
m6,0.5791681553219863,0.412014129443648,0.43745266321907406,0.3189433737395537,0.38894245443485553,,0.46189160404463603,0.6268713683482903,0.33074448297137127,0.5050332916245686,0.554361480597373,0.3923284834316521,0.3991881217716894,0.5396634226248077,0.31257469183859454,0.6767007476586537,0.49751732581970187,0.5333311172611377,0.4252254105402234,0.34978270488084295,0.5548616016998249,0.4778374594649682,0.35539511174975896,0.43639099486327454,0.5943710431017454,0.639495452044889,0.43588858274602144,0.7249899041213488,0.5770658686881883,0.2665979362012182,0.4017212875462801,0.6241353709051362,0.2600753798497556,0.5375718386294868,0.5412278547409508,0.5809665154837493,,0.5478177840933568,0.5194005229064959,0.4759175507966085,0.5935165385892224,0.35920215155047247,0.43659328443594025,0.4170744372995194,0.49549367974900455,0.378721506823389,0.6681089766935485,0.3922936955058065,0.04193972918663824,0.6664293509422307,0,0.5483969117199681,,0.3514314005338158,0.5930770952524977,,0.4760461725502677,0.4681446172334012,,0.4553625262937342,0.29125579256446327,0.5776439400762664,0.3510072883025005,0.3779903774813067,0.3556837542853506,0.3760672182464144,,0.6134250740234799,0.6385952277444868,0.47265715656796076,0.3173529187925469,0.552032960517912,0.6026847310217072,0.27099646602808125,0.3940264463982772,0.45549275793799504,0.26527980138633833,0.36606524844565214,0.3188141312179889,0.3425619735645369,0.5039582648791591,0.2688903787880541,0.49642336529609615,0.046245417703809244,0.5268378396989086,0.517118338267721,0.4291494723214597,0.4398459874058837,0.4123677699936547,,0,0.3160283548005547,0.32846948311673985,0.5959308229577598,0.3734476974172787,0.6185225251050538,0.3975994418596278,0.13122536789121764,0.6237828938200096,0.4391376264796057
m7,0.47511406567780184,0.571488170387782,0.5479597772523792,0.5130876413866264,0.5879430732763373,0.46189160404463603,,0.7517449207474598,0.5926218567039369,0.5473429565360112,0.5961313650378021,0.6077865652345698,0.488345442688839,0.4908886984708551,0.5969357311827713,0.37719487604903973,0.5081202780589915,0.5938524499226498,0.5406055647149152,0.617635933150988,0.4267882852237305,0.5694485791062953,0.61265545068052,0.5149281808827656,0.3929422643063553,0.40287524778370787,0.5701011223254362,0.39033326035806193,0.2940208277989118,0.5487847564296116,0.5731472761287366,0.4094236997269117,,0.47839165657245947,0.750359236922528,0.4283818972201432,,0.558679412645115,0.42274218934847135,0.579197808902755,0.3782063024196493,0.5453051869931378,0.647364136040173,0.6361858715345701,0.4283020172096593,0.48449317562577404,0.40092051595681566,0.5265549730973986,0.2608208163283513,0.3845579449845816,0,0.5651798886232662,,0.5141989119031923,0.7274249853375525,,0.5119510217741963,0.45186841988601734,0.9044152500389073,0.5801402234125204,0.5814458032944869,0.586074050150944,0.596951272069499,0.49680647057375016,0.4906747508166494,0.4441130976076952,,0.47397300011752636,0.40783394093346514,0.46982559545664704,0.6767550282622743,0.3636479554572848,0.4909961474081848,0.6453979489964499,0.9616137022211707,0.5036154506227275,0.5215722215468512,0.5690140522823889,0.7287186180515315,0.23986883325103525,0.4149950067621482,0.5531164066715879,0.33732399825702564,0.7584966736676801,0.4771690662098883,0.5303250529957483,0.48032907201693115,0.5694327663972089,0.5482337405663492,,0,0.41683494178671787,0.6156279994945298,0.4925001457334592,0.5401491898804653,0.6762002433797153,0.6242664776241182,,0.12347469307086384,0.6582479278172307
m8,0.30337850068366934,0.4886859581405573,0.6694069965236741,0.6384137036051128,0.6086423320333599,0.6268713683482903,0.7517449207474598,,0.6976161399848019,0.43214834635618826,0.595139240477087,0.3112583608955496,0.7537971262571073,0.5099960971547053,0.6168056793370618,0.6128513284322056,0.23821331577195004,0.5032563486203534,0.6185739261811916,0.7367031703471816,0.39241365038322,0.4779071633123493,0.5579520611979308,0.6232699814061813,0.546933755881153,0.44814983733778735,0.7362480915366493,0.17960547956209671,0.31595587158782723,,0.9261026176930455,0.3262643873195794,,0.47047463380062177,,0.3278140550018529,,,0.5207127540674295,,0.2694446593769739,0.6779108214113244,0.23934376064262508,0.5738432193409062,0.6813331615081988,0.5320646084535253,0.4153274012473262,0.6294535591945027,,0.3424682580385907,0,0.3277949235112921,,0.7474759786521985,,0.8528401571834394,0.04350276910893258,0.2491973434366231,,0.6796688921630134,0.6263354483528865,0.33953803676501426,0.6059077835131756,0.1933642604827847,0.737481310141241,0.7365627195589741,,,0.4917701711747496,0.4315451806588813,,,0.558156618038841,0.8812613678380166,,0.4148564294372607,,0.26995372179046334,0.7502080106221183,,0.43390205091514944,0.43530753215864476,,,0.8339888233394865,0.39133910489482804,0.8412311971959479,0.7315192331674885,0.7244848481557076,,0,0.990296937380487,0.7644963753701739,0.424980080662012,0.7830121526924265,,,,,0.5111007565517415
m9,0.18896631391811297,0.6896189254158384,0.5870297359781789,0.4940782178748585,0.7584384671291151,0.33074448297137127,0.5926218567039369,0.6976161399848019,,0.4335946747285936,0.3729745574833169,0.8655430306128806,0.687642198453048,0.12246794735498967,0.7781351948296885,0.28194481573881014,0.2756401682333539,0.5882463856225,0.7678722996654254,0.8491839579297268,0.3381413051946141,0.5709315338274757,0.8725977155794538,0.6127854917536606,0.2836143052051145,0.515051667209847,0.5579199823590625,0.1208185508273884,0.2057767132268375,,0.6102611975747851,0.26786190142463295,,0.2925115386522774,,0.18269706450688783,,0.9521817338721354,0.5046190768581001,,0.24826223019882876,0.6880012705219797,0.35740234039538527,0.7513518746054413,0.49104952885057335,0.5977124440499377,0.20428478763421748,0.7890137763713372,,0.1403180306371688,0,0.24506963589136482,,0.8572707597021292,,,0.44803468241723915,0.22656176537186623,,0.6954673729759793,0.8415840836318458,0.33614088620639127,0.7424692333762034,0.8671334474698549,0.8851834198281081,0.9466148998379995,,,0.33364966075953806,0.5918035719253496,0.8271680311989822,0.6872164629832856,0.3447848783622127,0.6543326923148889,0.8151705764534776,0.6838692245047859,,0.18360673626669527,0.8100727972368271,,0.3339237592674362,,,,0.933914287927766,0.4804488148984102,0.8616224524565671,0.708631010993203,0.7930128046621003,,0,0.7461233481083465,0.9517971902808761,0.43708345541728777,0.6572680505012463,,,,0.11539263825569357,0.8728201242963882
m10,0.5121055338046807,0.5415037012268146,0.5688345173364173,0.3691460391916077,0.5035920213653053,0.5050332916245686,0.5473429565360112,0.43214834635618826,0.4335946747285936,,0.5467501394325519,0.47746325585031724,0.4782708235355606,0.48566768606121397,0.2920308186559962,0.4814640890267644,0.49711527322044546,0.5364741627503923,0.4965715772065555,0.36417216445642386,0.5481984991724513,0.5870968573563053,0.5326066352004888,0.4446186804003667,0.49240173566731027,0.5233960162107376,0.35484082222658986,0.525680402324522,0.45979032001024794,0.5484540338999775,0.6570779460559603,0.4761297780125758,,0.49916020840690434,0.7286499252566947,0.47382594399932493,,0.2789901114413718,0.5344603437925864,0.581832747472708,0.4064780437698054,0.503779669697366,0.4539961750973461,0.5610253772245877,0.4649776810132079,0.48894400281815376,0.48467235437141676,0.5288576815708704,0.536348324220472,0.4792374488423954,0,0.5530363178404962,,0.46895165886363205,0.4229969047794677,0.2889586238235915,0.5017039392748868,0.4414488612826916,,0.4568061498654543,0.5152666421673593,0.5240188264372745,0.48931825736851486,0.5152827388604697,0.39907408098122193,0.40808500231223954,,0.44254431368554775,0.5838531606351651,0.5588213527898448,0.4441686218792149,0.45330114109237896,0.39394545117133545,0.4612836515385263,0.1759261128319886,0.4445610195633144,0.6808563311544067,0.4692763847711843,0.52894797018964,0.5965068577185831,0.552267738156486,0.21159546140758317,0.6145146663749788,0.0675408188184976,0.45333007729856906,0.5159904999744689,0.44464573961121306,0.5773928756960347,0.444737206829775,,0,0.5170494143087307,0.3776833037651953,0.5113026585582472,0.5514174936868799,0.5740114850560295,0.4131414082054541,0.7204853537362566,0.2617006189778861,0.5474582912917454
